title,uri,status
UPRISING CHORDS by Muse @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/muse/uprising-chords-872240,Downloaded
SOMEBODY TO LOVE CHORDS by Queen @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/queen/somebody-to-love-chords-208584,Downloaded
UNDISCLOSED DESIRES CHORDS by Muse @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/muse/undisclosed-desires-chords-871378,Downloaded
MADNESS CHORDS (ver 3) by Muse @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/muse/madness-chords-1177158,Downloaded
STARLIGHT CHORDS by Muse @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/muse/starlight-chords-411547,Downloaded
VALERIE CHORDS (ver 3) by Amy Winehouse @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/amy-winehouse/valerie-chords-738108,Downloaded
"EASY CHORDS (ver 4) by Commodores for guitar, ukulele, piano at Ultimate-Guitar",https://tabs.ultimate-guitar.com/tab/commodores/easy-chords-1674672,Downloaded
WHITE WINE IN THE SUN CHORDS (ver 2) by Tim Minchin @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/tim-minchin/white-wine-in-the-sun-chords-1032923,Downloaded
ENORMOUS PENIS CHORDS by Da Vinci's Notebook @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/da-vincis-notebook/enormous-penis-chords-1020416,Downloaded
WELCOME TO THE INTERNET CHORDS by Bo Burnham @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/bo-burnham/welcome-to-the-internet-chords-3732602,Downloaded
RICK AND MORTY - GOODBYE MOONMEN CHORDS by Misc Cartoons @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/misc-cartoons/rick-and-morty-goodbye-moonmen-chords-1751004,Downloaded
DICK IN A BOX CHORDS by The Lonely Island @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/the-lonely-island/dick-in-a-box-chords-1038612,Downloaded
HERA KOKA HASZ LSD CHORDS by Karolina Czarnecka @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/karolina-czarnecka/hera-koka-hasz-lsd-chords-2588289,Downloaded
LOWER YOUR EXPECTATIONS CHORDS by Bo Burnham @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/bo-burnham/lower-your-expectations-chords-1805915,Downloaded
SAD CHORDS by Bo Burnham @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/bo-burnham/sad-chords-1449129,Downloaded
REPEAT STUFF CHORDS by Bo Burnham @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/bo-burnham/repeat-stuff-chords-1450729,Downloaded
WHITE WOMANS INSTAGRAM CHORDS by Bo Burnham @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/bo-burnham/white-womans-instagram-chords-3733745,Downloaded
LOOK WHOS INSIDE AGAIN CHORDS by Bo Burnham @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/bo-burnham/look-whos-inside-again-chords-3732986,Downloaded
ALL EYES ON ME CHORDS by Bo Burnham @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/bo-burnham/all-eyes-on-me-chords-3733355,Downloaded
BOOMBOX CHORDS by The Lonely Island @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/the-lonely-island/boombox-chords-932168,Downloaded
IF WE WERE GAY CHORDS by Ninja Sex Party @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/ninja-sex-party/if-we-were-gay-chords-1515562,Downloaded
STONEHENGE CHORDS (ver 2) by Ylvis @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/ylvis/stonehenge-chords-1432334,Downloaded
POKEMON THEME CHORDS (ver 3) by Misc Cartoons @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/misc-cartoons/pokemon-theme-chords-938502,Downloaded
TINY HORSE CHORDS by Timothée Chalamet @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/3465704,Downloaded
CONFESSIONS CHORDS by Tim Minchin @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/tim-minchin/confessions-chords-2240509,Downloaded
DARK SIDE CHORDS by Tim Minchin @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/tim-minchin/dark-side-chords-748857,Downloaded
DIDNT HAVE YOU CHORDS by Tim Minchin @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/tim-minchin/didnt-have-you-chords-3917465,Downloaded
F SHARP CHORDS (ver 2) by Tim Minchin @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/tim-minchin/f-sharp-chords-1187739,Downloaded
FAT CHILDREN CHORDS (ver 2) by Tim Minchin @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/tim-minchin/fat-children-chords-1159528,Downloaded
SHAPE OF YOU CHORDS (ver 2) by Ed Sheeran @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/ed-sheeran/shape-of-you-chords-1928439,Downloaded
IF I DIDNT KNOW BETTER CHORDS by The Civil Wars @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/the-civil-wars/if-i-didnt-know-better-chords-1158939,Downloaded
FADED CHORDS by Alan Walker @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/alan-walker/faded-chords-1791779,Downloaded
Jaromír Nohavica - Dežo [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=480236&sid=,Downloaded
Jaromír Nohavica - Cukrářská bossa-nova [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=1920&sid=,Downloaded
Jaromír Nohavica - Petěrburg [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=830,Downloaded
Jaromír Nohavica - Jiné to nebude [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=585948&sid=,Downloaded
Jaromír Nohavica - Černá jáma [akordy na Supermusic],https://supermusic.cz/skupina.php?idpiesne=1071695&sid=,Downloaded
Jaromír Nohavica - Hanba sláva [akordy na Supermusic],https://supermusic.cz/skupina.php?idpiesne=970843,Downloaded
Jaromír Nohavica - Já chci poezii [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=585950,Downloaded
"Jaromír Nohavica - Malé české blues (Do prdele práce) - akordy,text,tab [akordy a text na Supermusic]",https://supermusic.cz/skupina.php?idpiesne=340634&sid=,Downloaded
Jaromír Nohavica - Margita [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=125927,Downloaded
Tomáš Klus - Chybíš mi [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=395981,Downloaded
IMT Smile - Nepoznám [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=447&sid=,Downloaded
Daniel Landa - K sobě patříme [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=99864&sid=,Downloaded
TY PTÁŠ SE MĚ CHORDS by Jaromír Nohavica @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/3706493,Downloaded
Jaromír Nohavica - Kupte si hřebeny [taby na Supermusic],https://supermusic.cz/skupina.php?idpiesne=643670&sid=,Downloaded
MIKYMAUZ CHORDS (ver 3) by Jaromír Nohavica @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/2274537,Downloaded
DARMODĚJ CHORDS by Jaromír Nohavica @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/1859957,Downloaded
Jaromír Nohavica - Zatímco se koupeš [taby na Supermusic],https://supermusic.cz/skupina.php?idpiesne=6450&sid=,Downloaded
Jaromír Nohavica - Zitra rano v pet - 2 [taby na Supermusic],https://supermusic.cz/skupina.php?idpiesne=12633&sid=,Downloaded
Jaromír Nohavica - Ještě mi scházíš [taby na Supermusic],https://supermusic.cz/skupina.php?idpiesne=9266&sid=,Downloaded
Jaromír Nohavica - Ladovská Zima 100% zprávná verze [taby na Supermusic],https://supermusic.cz/skupina.php?idpiesne=187114&sid=,Downloaded
Jaromír Nohavica - Šnečí blues [taby na Supermusic],https://supermusic.cz/skupina.php?idpiesne=17384&sid=,Downloaded
ŠNEČÍ BLUES CHORDS by Jaromír Nohavica @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/1184534,Downloaded
Jaromír Nohavica - Přítel [taby na Supermusic],https://supermusic.cz/skupina.php?idpiesne=17591&sid=,Downloaded
Jaromír Nohavica - Můj pes [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=849&sid=,Downloaded
Jaromír Nohavica - Kapr [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=2927&sid=,Downloaded
Jaromír Nohavica - Telátko oblíbené [taby na Supermusic],https://supermusic.cz/skupina.php?idpiesne=62868&sid=,Downloaded
Jaromír Nohavica - Dokud se zpívá [taby na Supermusic],https://supermusic.cz/skupina.php?idpiesne=51730&sid=,Downloaded
Jaromír Nohavica - Grónská písnička [taby na Supermusic],https://supermusic.cz/skupina.php?idpiesne=440314&sid=,Downloaded
Jaromír Nohavica - Pane prezidente <2> [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=12194&sid=,Downloaded
Jaromír Nohavica - Na dvoře divadla - správne [taby na Supermusic],https://supermusic.cz/skupina.php?idpiesne=51271&sid=,Downloaded
Jaromír Nohavica - Na dvoře divadla [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=117&sid=,Downloaded
Jaromír Nohavica - Milionář [akordy a text na Supermusic],https://supermusic.cz/skupina.php?action=piesen&idskupiny=108&idpiesne=44301,Downloaded
Jaromír Nohavica - Kometa - tab [taby na Supermusic],https://supermusic.cz/skupina.php?idpiesne=327464&sid=,Downloaded
Jaromír Nohavica - Hlídač krav [akordy a text na Supermusic],https://supermusic.cz/skupina.php?action=piesen&idskupiny=108&idpiesne=203698,Downloaded
Jaromír Nohavica - Až to se mnu sekne [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=951,Downloaded
Lasica A Satinský - Za dedinou [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=1302,Downloaded
Horkýže Slíže - Osemnásť [akordy a text na Supermusic],https://supermusic.cz/skupina.php?action=piesen&idskupiny=152&idpiesne=59638,Downloaded
Horkýže Slíže - Cigarety [akordy a text na Supermusic],https://supermusic.cz/skupina.php?action=piesen&idskupiny=152&idpiesne=11115,Downloaded
Horkýže Slíže - Banda tupých hláv [akordy a text na Supermusic],https://supermusic.cz/skupina.php?idpiesne=159736&sid=,Downloaded
Bijouterrier - Babka Natatrouská a Dedo Momuj - oprava [akordy a text na Supermusic],https://supermusic.cz/skupina.php?action=piesen&idskupiny=704755&idpiesne=727306,Downloaded
RUN TO THE SUN CHORDS by Heľenine Oči @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/2754249,Downloaded
